topic_0,topic_1,topic_2,topic_3,topic_4
0.001338260913143903,0.15772902542516107,0.4874416765156906,0.16505996484471194,0.1884310723012925
0.002404330825145874,0.3024966661659872,0.0023660072575895498,0.6903407222009772,0.002392273550300289
0.5049230124006496,0.04039512501722223,0.0014090077825973794,0.4518707516411994,0.0014021031583315228
0.28737522783379676,0.5153044654308153,0.0019900110043763186,0.19330115638001505,0.002029139350996574
0.0011874278718842972,0.9952789123150905,0.0011790270263097118,0.0011737698042946778,0.0011808629824207595
0.001425054254698173,0.0014172996177219154,0.00142857149413404,0.001435255034939649,0.9942938195985062
0.9938613527980753,0.0015372233217131933,0.0015416519168747781,0.0015295470867606638,0.0015302248765759377
0.07990394216820404,0.001847320100323197,0.07899669404964564,0.49298158256952274,0.34627046111230425
0.9261762430353061,0.01846475795257718,0.018330066901303847,0.018552392488069214,0.018476539622743635
0.9849055262635474,0.003801793113559163,0.003771634685164059,0.003775388979238412,0.0037456569584908756
0.5033328566337535,0.0012442894066471495,0.0012389696490188139,0.0012491194336869882,0.4929347648768935
0.6622026382016484,0.3349050787505782,0.0009701423588478449,0.0009579389868484947,0.0009642017020770502
0.001836213323282768,0.0018527681876402229,0.9926176890383265,0.001854532369957206,0.0018387970807933064
0.0009201423979622644,0.13600731913068545,0.3571763709086981,0.5049761886058776,0.0009199789567766591
0.003609206049588581,0.2875804441776421,0.0035632282522214177,0.43401901426491346,0.2712281072556344
0.9901329108415783,0.002477479706571725,0.002462069325955139,0.0024523950495405162,0.0024751450763543085
0.0014304535839827005,0.001435590250236886,0.001432925512058014,0.9942686453103026,0.0014323853434197883
0.020244651381123236,0.918100466136126,0.02085258603740314,0.020416208004319834,0.020386088441027708
0.0023701378963152156,0.0023755561783418123,0.3648365259347546,0.6280290651360252,0.0023887148545632324
0.0016982795977845727,0.3059445796807542,0.0016610498621197872,0.6890078134377787,0.0016882774215626715
0.0013440272109230952,0.0013544066306226527,0.001345228102532945,0.9946006178073529,0.0013557202485684294
0.001268128179737958,0.5641586575623622,0.0012532115666353313,0.43205976484114494,0.0012602378501196854
0.008059356686554836,0.008048341689782447,0.008075265019508523,0.967696918423095,0.00812011818105911
0.991972351522537,0.0019855976057924977,0.0019812686553463623,0.0020517349664183593,0.002009047249905859
0.001361778373200991,0.9555249492057358,0.00135761873968537,0.04039963498875913,0.001356018692618716
0.0017860647763279732,0.0018066998040436846,0.0018092263208319282,0.9928045493714208,0.001793459727375544
0.8244915608268008,0.001120001954510997,0.0011135368991533128,0.17216961065031638,0.001105289669218572
0.0015045112589544775,0.5053334906249363,0.0015098302653493373,0.490136059475044,0.0015161083757160875
0.0013276188063118537,0.11432417552318087,0.0013125239585946085,0.7583432145606965,0.12469246715121618
0.0012885564454378686,0.29455649808867956,0.0012893515280810882,0.7015715188781136,0.0012940750596878397
0.0016756459117844066,0.6264487878105836,0.0016771765610838364,0.24208997573335592,0.12810841398319225
0.0010316212099821902,0.9958720745732705,0.0010413720403694398,0.0010266394818100712,0.001028292694567795
0.0011397806404736895,0.995448727467715,0.001145075348644487,0.001134229523557601,0.0011321870196091138
0.6606137878071469,0.10757260807274745,0.0015531788770223366,0.22871138513482528,0.0015490401082580247
0.12889195530537784,0.0020005345620733484,0.001998797771952583,0.0019890033961804396,0.8651197089644158
0.00162584752721518,0.0016318014322268103,0.0016275675460837166,0.9934869814941074,0.0016278020003670022
0.0013513411523376603,0.6440560448317859,0.0013539395922046872,0.35187990711194317,0.0013587673117284847
0.001325756873237078,0.2181163531097425,0.001324160267188745,0.15218008563559943,0.6270536441142323
0.0014761582891776846,0.0014771363685548377,0.994085171398468,0.001494032845618395,0.0014675010981810952
0.0017399162949652306,0.0017403872750199748,0.9930075858706143,0.0017663566167387492,0.0017457539426617393
0.001183177593020263,0.9952771308526753,0.001183243259224106,0.0011763851516256188,0.0011800631434547137
0.9697736792282757,0.007618190121455904,0.007518108189139626,0.00750222687234704,0.0075877955887817235
0.0012381521108361874,0.4847815074017738,0.13366596681463505,0.3790765379272881,0.0012378357454668673
0.0013438063255632926,0.9354227520815831,0.06056328340546222,0.001336788996556709,0.0013333691908347129
0.0012377609414342403,0.0012312359565954413,0.9950849818859,0.0012165275186364127,0.001229493697433905
0.0012965232262410538,0.9948232390617764,0.0012993152546361632,0.0012908666750218567,0.0012900557823248122
0.0012781101786595382,0.9948347777367644,0.0013095535823759352,0.001294135904513354,0.001283422597686801
0.2162678132999072,0.7469000958853584,0.0016430414602865294,0.033538015727749164,0.0016510336266987635
0.0011400122706731858,0.0011506198714833177,0.7035179519987588,0.29304619574749197,0.0011452201115929028
0.0014898969344879812,0.27227057405865435,0.0014508162933545166,0.7233412114532616,0.0014475012602416977
0.28339835427498755,0.0015635976504340923,0.0015299818003087712,0.7119642111535254,0.0015438551207443
0.0017431190936954646,0.9929883659471244,0.0017732866603832897,0.001754180033967574,0.0017410482648294405
0.0012899648623000768,0.3609170353226358,0.13667519828195604,0.4998271866079421,0.001290614925165939
0.9170809344977102,0.07991147961077141,0.001003629253113668,0.001002038688992925,0.0010019179494117354
0.0010668717136326858,0.6773380902086866,0.3194731334429582,0.0010589615400084652,0.0010629430947139543
0.3140441150672004,0.4145884565654635,0.07397587955002104,0.19582156704604067,0.0015699817712743391
0.0011821991521146313,0.9952760462570336,0.001181723852094486,0.0011818721547042093,0.0011781585840531146
0.9958411134130075,0.0010454659318105785,0.0010405398942763232,0.0010383115483005906,0.0010345692126048208
