Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
KLF9,-2.387,1.53e-28,0,0,0,KLF transcription factor 9,Nucleus,transcription regulator,,,,,,,,,,,,,,
PGLYRP4,2.337,1.53e-28,0,0,0,peptidoglycan recognition protein 4,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
ZNF606,-2.007,2.54e-28,0,0,0,zinc finger protein 606,Nucleus,transcription regulator,,,,,,,,,,,,,,
PHYHIP,-2.636,5.07e-28,0,0,0,phytanoyl-CoA 2-hydroxylase interacting protein,Cytoplasm,other,,,,,,,,,,,,,,
DDX60L,2.148,5.13e-28,0,0,0,DExD/H-box 60 like,Other,other,,,,,,,,,,,,,,
NFIL3,-2.339,5.27e-28,0,0,0,"nuclear factor, interleukin 3 regulated",Nucleus,transcription regulator,,,,,,,,,,,,,,
CHI3L2,3.821,6.1799999999999995e-28,0,0,0,chitinase 3 like 2,Extracellular Space,enzyme,,,,,,,,,,,,,,
ATP6V0A4,-2.845,6.4e-28,0,0,0,ATPase H+ transporting V0 subunit a4,Cytoplasm,transporter,,,,,,,,,,,,,,
BACH2,-2.008,8.25e-28,0,0,0,BTB domain and CNC homolog 2,Nucleus,transcription regulator,,,,,,,,,,,,,,
SOX8,-2.548,9.81e-28,0,0,0,SRY-box transcription factor 8,Nucleus,transcription regulator,,,,,,,,,,,,,,
HSD11B1,-2.905,1.4600000000000001e-27,0,0,0,hydroxysteroid 11-beta dehydrogenase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
MMP12,4.715,1.57e-27,0,0,0,matrix metallopeptidase 12,Extracellular Space,peptidase,,,,,,,,,,,,,,
ISG15,3.319,1.6600000000000003e-27,3,1,1,ISG15 ubiquitin like modifier,Cytoplasm,other,,,,,,,,,,,,,,
SPRR2D,4.66,1.85e-27,0,0,0,small proline rich protein 2D,Cytoplasm,other,,,,,,,,,,,,,,
FLVCR2,2.412,1.93e-27,0,0,0,FLVCR choline and putative heme transporter 2,Plasma Membrane,transporter,,,,,,,,,,,,,,
LINC-PINT,-2.437,2e-27,0,0,0,"long intergenic non-protein coding RNA, p53 induced transcript",Other,other,,,,,,,,,,,,,,
ZFP36,-2.689,2e-27,0,0,0,ZFP36 ring finger protein,Nucleus,transcription regulator,,,,,,,,,,,,,,
SH3RF1,-2.601,2.89e-27,0,0,0,SH3 domain containing ring finger 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
PIK3R1,-2.107,3.3e-27,0,0,0,phosphoinositide-3-kinase regulatory subunit 1,Cytoplasm,kinase,,,,,,,,,,,,,,
PRR11,2.161,4.47e-27,0,0,0,proline rich 11,Cytoplasm,other,,,,,,,,,,,,,,
CCNA2,2.289,5.4800000000000004e-27,0,0,0,cyclin A2,Nucleus,other,,,,,,,,,,,,,,
ALOX12B,2.349,6.6e-27,0,0,0,"arachidonate 12-lipoxygenase, 12R type",Cytoplasm,enzyme,,,,,,,,,,,,,,
WDR33,-2.248,7.17e-27,0,0,0,WD repeat domain 33,Nucleus,other,,,,,,,,,,,,,,
INSIG1,-2.165,7.78e-27,0,0,0,insulin induced gene 1,Cytoplasm,other,,,,,,,,,,,,,,
CHEK1,2.16,8.95e-27,0,0,0,checkpoint kinase 1,Nucleus,kinase,,,,,,,,,,,,,,
ATP10B,2.042,1.25e-26,0,0,0,ATPase phospholipid transporting 10B (putative),Plasma Membrane,transporter,,,,,,,,,,,,,,
RAD51AP1,2.074,1.38e-26,0,0,0,RAD51 associated protein 1,Nucleus,other,,,,,,,,,,,,,,
SERPINB3,4.741,2.02e-26,0,0,0,serpin family B member 3,Cytoplasm,other,,,,,,,,,,,,,,
CCN1,-3.396,2.69e-26,0,0,0,cellular communication network factor 1,Extracellular Space,other,,,,,,,,,,,,,,
NR3C2,-2.275,4.9300000000000004e-26,0,0,0,nuclear receptor subfamily 3 group C member 2,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
APOLD1,-3.277,5.04e-26,0,0,0,apolipoprotein L domain containing 1,Cytoplasm,other,,,,,,,,,,,,,,
CCNB2,2.043,5.21e-26,0,0,0,cyclin B2,Cytoplasm,other,,,,,,,,,,,,,,
GZMB,3.21,5.33e-26,0,0,0,granzyme B,Cytoplasm,peptidase,,,,,,,,,,,,,,
TLCD4,-3.359,5.36e-26,0,0,0,TLC domain containing 4,Other,other,,,,,,,,,,,,,,
NFAT5,-2.194,5.99e-26,0,0,0,nuclear factor of activated T cells 5,Nucleus,transcription regulator,,,,,,,,,,,,,,
EGR1,-3.233,6.29e-26,0,0,0,early growth response 1,Nucleus,transcription regulator,,,,,,,,,,,,,,
ENPP5,-2.129,6.76e-26,0,0,0,ectonucleotide pyrophosphatase/phosphodiesterase family member 5,Extracellular Space,enzyme,,,,,,,,,,,,,,
ADM,-2.547,6.88e-26,0,0,0,adrenomedullin,Extracellular Space,other,,,,,,,,,,,,,,
WFDC3,-3.237,7.030000000000001e-26,0,0,0,WAP four-disulfide core domain 3,Extracellular Space,other,,,,,,,,,,,,,,
PI3,4.93,8.78e-26,0,0,0,peptidase inhibitor 3,Extracellular Space,other,,,,,,,,,,,,,,
ZWINT,2.048,1.07e-25,0,0,0,ZW10 interacting kinetochore protein,Nucleus,other,,,,,,,,,,,,,,
NR4A2,-2.014,1.78e-25,0,0,0,nuclear receptor subfamily 4 group A member 2,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
AURKA,2.346,1.93e-25,0,0,0,aurora kinase A,Nucleus,kinase,,,,,,,,,,,,,,
DSG2,-2.03,2.83e-25,0,0,0,desmoglein 2,Plasma Membrane,other,,,,,,,,,,,,,,
IFITM10,2.252,2.97e-25,0,0,0,interferon induced transmembrane protein 10,Other,other,,,,,,,,,,,,,,
SCN7A,-2.519,4.92e-25,0,0,0,sodium voltage-gated channel alpha subunit 7,Plasma Membrane,ion channel,,,,,,,,,,,,,,
RHCG,3.841,5.65e-25,0,0,0,Rh family C glycoprotein,Plasma Membrane,transporter,,,,,,,,,,,,,,
PPP1R1B,-3.278,6.6499999999999995e-25,0,0,0,protein phosphatase 1 regulatory inhibitor subunit 1B,Cytoplasm,phosphatase,,,,,,,,,,,,,,
ESRRG,-2.586,8.26e-25,0,0,0,estrogen related receptor gamma,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
PBK,2.533,1.13e-24,0,0,0,PDZ binding kinase,Cytoplasm,kinase,,,,,,,,,,,,,,
STC1,-3.796,1.2699999999999999e-24,0,0,0,stanniocalcin 1,Extracellular Space,kinase,,,,,,,,,,,,,,
GINS2,2.269,1.38e-24,0,0,0,GINS complex subunit 2,Nucleus,other,,,,,,,,,,,,,,
