Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
TM4SF1,-2.24,1.29e-12,0,0,0,transmembrane 4 L six family member 1,Plasma Membrane,other,,,,,,,,,,,,,,
FASN,-2.006,1.76e-12,0,0,0,fatty acid synthase,Cytoplasm,enzyme,,,,,,,,,,,,,,
OGN,-2.356,1.87e-12,0,0,0,osteoglycin,Extracellular Space,growth factor,,,,,,,,,,,,,,
THRSP,-2.941,2.06e-12,0,0,0,thyroid hormone responsive,Nucleus,other,,,,,,,,,,,,,,
CCL18,3.482,2.24e-12,0,0,0,C-C motif chemokine ligand 18,Extracellular Space,cytokine,,,,,,,,,,,,,,
IL7R,2.232,2.38e-12,0,0,0,interleukin 7 receptor,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
SPX,-2.612,2.51e-12,0,0,0,spexin hormone,Nucleus,other,,,,,,,,,,,,,,
VEGFA,-2.276,2.6e-12,0,0,0,vascular endothelial growth factor A,Extracellular Space,growth factor,,,,,,,,,,,,,,
PM20D1,-3.361,2.7e-12,0,0,0,peptidase M20 domain containing 1,Cytoplasm,peptidase,,,,,,,,,,,,,,
RABGAP1L,-2.05,3.35e-12,0,0,0,RAB GTPase activating protein 1 like,Cytoplasm,other,,,,,,,,,,,,,,
LGALS2,2.58,4.06e-12,0,0,0,galectin 2,Cytoplasm,other,,,,,,,,,,,,,,
N4BP2L1,-2.085,4.13e-12,0,0,0,NEDD4 binding protein 2 like 1,Other,other,,,,,,,,,,,,,,
IL37,-2.035,4.62e-12,0,0,0,interleukin 37,Extracellular Space,cytokine,,,,,,,,,,,,,,
CD48,2.008,5.49e-12,0,0,0,CD48 molecule,Plasma Membrane,other,,,,,,,,,,,,,,
CCNL1,-2.096,5.52e-12,0,0,0,cyclin L1,Nucleus,other,,,,,,,,,,,,,,
MMP9,2.043,5.6e-12,3,1,1,matrix metallopeptidase 9,Extracellular Space,peptidase,,,,,,,,,,,,,,
TNIP3,2.769,6.12e-12,0,0,0,TNFAIP3 interacting protein 3,Cytoplasm,other,,,,,,,,,,,,,,
VTCN1,-2.138,6.19e-12,0,0,0,V-set domain containing T cell activation inhibitor 1,Plasma Membrane,other,,,,,,,,,,,,,,
ALDH3B2,2.46,6.31e-12,0,0,0,aldehyde dehydrogenase 3 family member B2,Cytoplasm,enzyme,,,,,,,,,,,,,,
BBS2,-2.046,6.37e-12,0,0,0,Bardet-Biedl syndrome 2,Cytoplasm,other,,,,,,,,,,,,,,
NAPSB,2.255,6.45e-12,0,0,0,napsin B aspartic peptidase (pseudogene),Other,other,,,,,,,,,,,,,,
SOCS3,-2.167,6.7e-12,0,0,0,suppressor of cytokine signaling 3,Cytoplasm,phosphatase,,,,,,,,,,,,,,
SCGB1D2,-3.613,7.08e-12,0,0,0,secretoglobin family 1D member 2,Extracellular Space,other,,,,,,,,,,,,,,
ADAMTS15,-2.171,7.31e-12,0,0,0,ADAM metallopeptidase with thrombospondin type 1 motif 15,Extracellular Space,peptidase,,,,,,,,,,,,,,
GM2A,2.67,7.57e-12,0,0,0,ganglioside GM2 activator,Cytoplasm,enzyme,,,,,,,,,,,,,,
PRKAR2B,-2.088,9.04e-12,0,0,0,protein kinase cAMP-dependent type II regulatory subunit beta,Cytoplasm,kinase,,,,,,,,,,,,,,
PDZRN4,-2.028,9.75e-12,0,0,0,PDZ domain containing ring finger 4,Other,other,,,,,,,,,,,,,,
BHLHE40,-2.135,1.05e-11,0,0,0,basic helix-loop-helix family member e40,Nucleus,transcription regulator,,,,,,,,,,,,,,
ATP1A2,-2.112,1.19e-11,0,0,0,ATPase Na+/K+ transporting subunit alpha 2,Plasma Membrane,enzyme,,,,,,,,,,,,,,
PLAAT3,-2.65,1.24e-11,0,0,0,phospholipase A and acyltransferase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,
ADAMTS9,-2.349,1.27e-11,0,0,0,ADAM metallopeptidase with thrombospondin type 1 motif 9,Extracellular Space,peptidase,,,,,,,,,,,,,,
SPRR3,2.61,1.36e-11,0,0,0,small proline rich protein 3,Cytoplasm,other,,,,,,,,,,,,,,
KRT78,2.245,1.44e-11,0,0,0,keratin 78,Cytoplasm,other,,,,,,,,,,,,,,
SCGB2A1,-2.647,1.64e-11,0,0,0,secretoglobin family 2A member 1,Extracellular Space,other,,,,,,,,,,,,,,
SOD2,-2.29,2.23e-11,0,0,0,superoxide dismutase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
HLA-DPA1,2.064,2.8e-11,0,0,0,"major histocompatibility complex, class II, DP alpha 1",Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
AOC3,-2.365,3.64e-11,0,0,0,amine oxidase copper containing 3,Plasma Membrane,enzyme,,,,,,,,,,,,,,
CA4,-2.328,4.23e-11,0,0,0,carbonic anhydrase 4,Plasma Membrane,enzyme,,,,,,,,,,,,,,
CCL27,-2.218,4.6e-11,0,0,0,C-C motif chemokine ligand 27,Extracellular Space,cytokine,,,,,,,,,,,,,,
SERPINE1,-2.045,4.67e-11,0,0,0,serpin family E member 1,Extracellular Space,other,,,,,,,,,,,,,,
AGTR1,-2.642,5.06e-11,0,0,0,angiotensin II receptor type 1,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
CYP4B1,-2.012,6.31e-11,0,0,0,cytochrome P450 family 4 subfamily B member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
MALAT1,-2.058,6.56e-11,0,0,0,metastasis associated lung adenocarcinoma transcript 1,Nucleus,other,,,,,,,,,,,,,,
PTGS2,-2.42,7.6e-11,3,1,1,prostaglandin-endoperoxide synthase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
PCK1,-2.388,8.69e-11,0,0,0,phosphoenolpyruvate carboxykinase 1,Cytoplasm,kinase,,,,,,,,,,,,,,
CXCL11,3.064,8.93e-11,0,0,0,C-X-C motif chemokine ligand 11,Extracellular Space,cytokine,,,,,,,,,,,,,,
KRT16,2.964,1.14e-10,0,0,0,keratin 16,Cytoplasm,other,,,,,,,,,,,,,,
GAL,-3.283,1.32e-10,4,1,1,galanin and GMAP prepropeptide,Extracellular Space,other,,,,,,,,,,,,,,
ZC3H12A,2.204,1.61e-10,0,0,0,zinc finger CCCH-type containing 12A,Cytoplasm,enzyme,,,,,,,,,,,,,,
KRT19,-2.688,1.79e-10,0,0,0,keratin 19,Cytoplasm,other,,,,,,,,,,,,,,
RBP4,-3.511,2.33e-10,0,0,0,retinol binding protein 4,Extracellular Space,other,,,,,,,,,,,,,,
KRT18,-2.332,3.51e-10,0,0,0,keratin 18,Cytoplasm,other,,,,,,,,,,,,,,
LINC01140,-2.289,3.76e-10,0,0,0,long intergenic non-protein coding RNA 1140,Other,other,,,,,,,,,,,,,,
SORBS1,-2.103,3.85e-10,0,0,0,sorbin and SH3 domain containing 1,Plasma Membrane,other,,,,,,,,,,,,,,
RORA,-2.531,4.37e-10,0,0,0,RAR related orphan receptor A,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
GALNT15,-2.396,4.57e-10,0,0,0,polypeptide N-acetylgalactosaminyltransferase 15,Cytoplasm,enzyme,,,,,,,,,,,,,,
IDO1,2.082,5.18e-10,0,0,0,"indoleamine 2,3-dioxygenase 1",Cytoplasm,enzyme,,,,,,,,,,,,,,
LYVE1,-2.099,5.64e-10,0,0,0,lymphatic vessel endothelial hyaluronan receptor 1,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
MSMB,-2.316,6.19e-10,0,0,0,microseminoprotein beta,Extracellular Space,other,,,,,,,,,,,,,,
G0S2,-2.742,1.39e-09,0,0,0,G0/G1 switch 2,Cytoplasm,other,,,,,,,,,,,,,,
IL36A,2.311,1.7e-09,0,0,0,interleukin 36 alpha,Extracellular Space,cytokine,,,,,,,,,,,,,,
LHX2,-2.523,1.91e-09,0,0,0,LIM homeobox 2,Nucleus,transcription regulator,,,,,,,,,,,,,,
PLIN1,-3.307,2.49e-09,0,0,0,perilipin 1,Cytoplasm,other,,,,,,,,,,,,,,
IGFBP6,-2.081,3.19e-09,0,0,0,insulin like growth factor binding protein 6,Extracellular Space,other,,,,,,,,,,,,,,
FAR2,-2.223,3.41e-09,0,0,0,fatty acyl-CoA reductase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
FABP4,-2.951,4.1e-09,0,0,0,fatty acid binding protein 4,Cytoplasm,transporter,,,,,,,,,,,,,,
DAZ3,-2.188,4.95e-09,0,0,0,deleted in azoospermia 3,Other,other,,,,,,,,,,,,,,
APOD,-2.068,5.05e-09,0,0,0,apolipoprotein D,Extracellular Space,transporter,,,,,,,,,,,,,,
IRF6,-2.011,7.99e-09,0,0,0,interferon regulatory factor 6,Nucleus,transcription regulator,,,,,,,,,,,,,,
HORMAD1,2.464,8.12e-09,0,0,0,HORMA domain containing 1,Nucleus,other,,,,,,,,,,,,,,
ADIPOQ,-3.362,9.57e-09,0,0,0,"adiponectin, C1Q and collagen domain containing",Extracellular Space,other,,,,,,,,,,,,,,
SELL,2.437,1.01e-08,0,0,0,selectin L,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
FKBP5,-2.16,1.05e-08,0,0,0,FKBP prolyl isomerase 5,Nucleus,enzyme,,,,,,,,,,,,,,
CCL13,2.259,1.17e-08,0,0,0,C-C motif chemokine ligand 13,Extracellular Space,cytokine,,,,,,,,,,,,,,
H19,-2.541,1.23e-08,0,0,0,H19 imprinted maternally expressed transcript,Cytoplasm,other,,,,,,,,,,,,,,
ACSBG1,-2.324,1.69e-08,0,0,0,acyl-CoA synthetase bubblegum family member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
DDX17,-2.219,1.83e-08,0,0,0,DEAD-box helicase 17,Nucleus,enzyme,,,,,,,,,,,,,,
RGS1,-2.03,2.09e-08,0,0,0,regulator of G protein signaling 1,Plasma Membrane,enzyme,,,,,,,,,,,,,,
UGT1A9,2.027,2.11e-08,0,0,0,UDP glucuronosyltransferase family 1 member A9,Cytoplasm,enzyme,,,,,,,,,,,,,,
GPAM,-2.442,2.33e-08,0,0,0,"glycerol-3-phosphate acyltransferase, mitochondrial",Cytoplasm,enzyme,,,,,,,,,,,,,,
ELOVL3,-2.554,2.84e-08,0,0,0,ELOVL fatty acid elongase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,
TF,-2.232,3.61e-08,0,0,0,transferrin,Extracellular Space,transporter,,,,,,,,,,,,,,
CFAP251,2.268,4.35e-08,0,0,0,cilia and flagella associated protein 251,Cytoplasm,other,,,,,,,,,,,,,,
PIP,-3.072,5.89e-08,0,0,0,prolactin induced protein,Extracellular Space,peptidase,,,,,,,,,,,,,,
CIDEC,-2.415,8.89e-08,0,0,0,cell death inducing DFFA like effector c,Cytoplasm,other,,,,,,,,,,,,,,
KRT79,-2.246,9.07e-08,0,0,0,keratin 79,Other,other,,,,,,,,,,,,,,
WIF1,-2.257,1.28e-07,0,0,0,WNT inhibitory factor 1,Extracellular Space,other,,,,,,,,,,,,,,
CYP1B1,-2.072,1.56e-07,0,0,0,cytochrome P450 family 1 subfamily B member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
SCGB2A2,-2.543,5.74e-06,0,0,0,secretoglobin family 2A member 2,Extracellular Space,other,,,,,,,,,,,,,,
IGHG2,-2.129,2.35e-05,0,0,0,immunoglobulin heavy constant gamma 2 (G2m marker),Plasma Membrane,other,,,,,,,,,,,,,,
