Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Expr Log Ratio,Expr p-value,Location,Type(s),,,,,,,,,,,,,,
interferon alpha inducible protein 27,IFI27,3.204,3.89E-31,Cytoplasm,other,,,,,,,,,,,,,,
interferon induced protein 44,IFI44,2.9,3.65E-21,Other,other,,,,,,,,,,,,,,
interferon induced protein 44 like,IFI44L,3.574,3.85E-31,Nucleus,other,,,,,,,,,,,,,,
interferon induced protein with tetratricopeptide repeats 1,IFIT1,2.625,6.67E-24,Cytoplasm,other,,,,,,,,,,,,,,
interferon induced protein with tetratricopeptide repeats 3,IFIT3,2.937,1.14E-37,Cytoplasm,other,,,,,,,,,,,,,,
interferon induced transmembrane protein 10,IFITM10,2.252,2.97E-25,Other,other,,,,,,,,,,,,,,
insulin like growth factor binding protein 5,IGFBP5,-2.227,4.65E-15,Extracellular Space,other,,,,,,,,,,,,,,
insulin like growth factor binding protein 6,IGFBP6,-2.081,3.19E-09,Extracellular Space,other,,,,,,,,,,,,,,
IGF like family member 1,IGFL1,6.332,2.72E-72,Extracellular Space,other,,,,,,,,,,,,,,
immunoglobulin heavy constant gamma 2 (G2m marker),IGHG2,-2.129,2.35E-05,Plasma Membrane,other,,,,,,,,,,,,,,
interleukin 6,IL6,-4.328,4.54E-20,Extracellular Space,cytokine,,,,,,,,,,,,,,
interleukin 19,IL19,3.337,8.47E-15,Extracellular Space,cytokine,,,,,,,,,,,,,,
interleukin 37,IL37,-2.035,4.62E-12,Extracellular Space,cytokine,,,,,,,,,,,,,,
interleukin 36 alpha,IL36A,2.311,1.70E-09,Extracellular Space,cytokine,,,,,,,,,,,,,,
interleukin 36 gamma,IL36G,4.579,2.60E-42,Extracellular Space,cytokine,,,,,,,,,,,,,,
interleukin 36 receptor antagonist,IL36RN,2.719,1.02E-40,Extracellular Space,cytokine,,,,,,,,,,,,,,
interleukin 6 cytokine family signal transducer,IL6ST,-2.166,1.11E-18,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
interleukin 7 receptor,IL7R,2.232,2.38E-12,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
inner mitochondrial membrane peptidase subunit 2,IMMP2L,-2.09,3.06E-21,Cytoplasm,peptidase,,,,,,,,,,,,,,
internexin neuronal intermediate filament protein alpha,INA,3.015,6.98E-54,Cytoplasm,other,,,,,,,,,,,,,,
inhibin subunit beta B,INHBB,-2.035,1.07E-13,Extracellular Space,growth factor,,,,,,,,,,,,,,
insulin induced gene 1,INSIG1,-2.165,7.78E-27,Cytoplasm,other,,,,,,,,,,,,,,
insulin receptor,INSR,-2.12,1.96E-24,Plasma Membrane,kinase,,,,,,,,,,,,,,
interferon regulatory factor 6,IRF6,-2.011,7.99E-09,Nucleus,transcription regulator,,,,,,,,,,,,,,
ISG15 ubiquitin like modifier,ISG15,3.319,1.66E-27,Cytoplasm,other,,,,,,,,,,,,,,
involucrin,IVL,2.126,3.63E-13,Cytoplasm,other,,,,,,,,,,,,,,
"Jun proto-oncogene, AP-1 transcription factor subunit",JUN,-2.853,2.28E-47,Nucleus,transcription regulator,,,,,,,,,,,,,,
potassium two pore domain channel subfamily K member 5,KCNK5,-2.141,9.31E-20,Plasma Membrane,ion channel,,,,,,,,,,,,,,
kinesin family member 27,KIF27,-2.467,4.17E-30,Cytoplasm,other,,,,,,,,,,,,,,
kinesin family member 20A,KIF20A,2.078,8.39E-20,Cytoplasm,other,,,,,,,,,,,,,,
kinesin family member 2C,KIF2C,2.123,6.31E-21,Nucleus,other,,,,,,,,,,,,,,
kinesin family member 4A,KIF4A,2.127,4.43E-24,Nucleus,other,,,,,,,,,,,,,,
KLF transcription factor 2,KLF2,-2.59,3.58E-40,Nucleus,transcription regulator,,,,,,,,,,,,,,
KLF transcription factor 9,KLF9,-2.387,1.53E-28,Nucleus,transcription regulator,,,,,,,,,,,,,,
kelch domain containing 7B,KLHDC7B,3.314,3.09E-20,Other,other,,,,,,,,,,,,,,
KLHDC7B divergent transcript,KLHDC7B-DT,4.003,1.24E-36,Other,other,,,,,,,,,,,,,,
kelch like family member 18,KLHL18,2.225,4.42E-15,Other,other,,,,,,,,,,,,,,
kelch like family member 24,KLHL24,-2.189,1.36E-29,Plasma Membrane,other,,,,,,,,,,,,,,
kallikrein related peptidase 6,KLK6,5.654,1.01E-46,Cytoplasm,peptidase,,,,,,,,,,,,,,
kallikrein related peptidase 7,KLK7,2.063,8.08E-19,Extracellular Space,peptidase,,,,,,,,,,,,,,
kallikrein related peptidase 8,KLK8,3.42,1.00E-59,Extracellular Space,peptidase,,,,,,,,,,,,,,
kallikrein related peptidase 10,KLK10,2.644,7.86E-30,Extracellular Space,peptidase,,,,,,,,,,,,,,
kallikrein related peptidase 13,KLK13,4.651,9.10E-51,Extracellular Space,peptidase,,,,,,,,,,,,,,
killer cell lectin like receptor B1,KLRB1,2.1,5.15E-18,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
lysine methyltransferase 2A,KMT2A,-2.136,1.07E-29,Nucleus,enzyme,,,,,,,,,,,,,,
kringle containing transmembrane protein 1,KREMEN1,2.194,6.28E-22,Plasma Membrane,other,,,,,,,,,,,,,,
keratin 7,KRT7,-3.222,6.86E-17,Cytoplasm,other,,,,,,,,,,,,,,
keratin 9,KRT9,3.411,5.10E-15,Cytoplasm,other,,,,,,,,,,,,,,
keratin 15,KRT15,-2.116,4.39E-14,Cytoplasm,other,,,,,,,,,,,,,,
keratin 16,KRT16,2.964,1.14E-10,Cytoplasm,other,,,,,,,,,,,,,,
keratin 18,KRT18,-2.332,3.51E-10,Cytoplasm,other,,,,,,,,,,,,,,
keratin 19,KRT19,-2.688,1.79E-10,Cytoplasm,other,,,,,,,,,,,,,,
keratin 77,KRT77,-3.871,1.39E-38,Cytoplasm,other,,,,,,,,,,,,,,
keratin 78,KRT78,2.245,1.44E-11,Cytoplasm,other,,,,,,,,,,,,,,
keratin 79,KRT79,-2.246,9.07E-08,Other,other,,,,,,,,,,,,,,
keratin 6A,KRT6A,2.738,5.32E-19,Other,other,,,,,,,,,,,,,,
keratin 6B,KRT6B,2.716,1.74E-15,Other,other,,,,,,,,,,,,,,
kynureninase,KYNU,4.796,1.11E-68,Cytoplasm,enzyme,,,,,,,,,,,,,,
lysosomal associated membrane protein 3,LAMP3,2.716,1.41E-24,Plasma Membrane,other,,,,,,,,,,,,,,
"La ribonucleoprotein 6, translational regulator",LARP6,-2.126,2.40E-24,Cytoplasm,other,,,,,,,,,,,,,,
late cornified envelope 3D,LCE3D,5.413,2.41E-47,Cytoplasm,other,,,,,,,,,,,,,,
"LCK proto-oncogene, Src family tyrosine kinase",LCK,2.718,5.86E-19,Cytoplasm,kinase,,,,,,,,,,,,,,
lipocalin 2,LCN2,4.917,5.02E-34,Extracellular Space,transporter,,,,,,,,,,,,,,
galectin 2,LGALS2,2.58,4.06E-12,Cytoplasm,other,,,,,,,,,,,,,,
LIM homeobox 2,LHX2,-2.523,1.91E-09,Nucleus,transcription regulator,,,,,,,,,,,,,,
LIF receptor subunit alpha,LIFR,-2.334,4.44E-17,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
long intergenic non-protein coding RNA 1094,LINC01094,2.073,6.34E-17,Other,other,,,,,,,,,,,,,,
long intergenic non-protein coding RNA 1140,LINC01140,-2.289,3.76E-10,Other,other,,,,,,,,,,,,,,
"long intergenic non-protein coding RNA, p53 induced transcript",LINC-PINT,-2.437,2.00E-27,Other,other,,,,,,,,,,,,,,
lipoprotein lipase,LPL,-3.814,3.67E-16,Cytoplasm,enzyme,,,,,,,,,,,,,,
LIM domain containing preferred translocation partner in lipoma,LPP,-2.442,1.40E-22,Nucleus,other,,,,,,,,,,,,,,
LDL receptor related protein 8,LRP8,2.758,1.08E-47,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
lymphotoxin beta,LTB,2.785,1.64E-20,Extracellular Space,cytokine,,,,,,,,,,,,,,
lactotransferrin,LTF,3.551,5.43E-13,Extracellular Space,other,,,,,,,,,,,,,,
LY6/PLAUR domain containing 5,LYPD5,2.13,3.86E-17,Other,other,,,,,,,,,,,,,,
lymphatic vessel endothelial hyaluronan receptor 1,LYVE1,-2.099,5.64E-10,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
lysozyme,LYZ,3.928,1.23E-18,Extracellular Space,enzyme,,,,,,,,,,,,,,
mitotic arrest deficient 2 like 1,MAD2L1,2.447,2.34E-22,Nucleus,other,,,,,,,,,,,,,,
metastasis associated lung adenocarcinoma transcript 1,MALAT1,-2.058,6.56E-11,Nucleus,other,,,,,,,,,,,,,,
monoamine oxidase A,MAOA,-2.13,1.28E-21,Cytoplasm,enzyme,,,,,,,,,,,,,,
myoglobin,MB,-2.263,1.20E-17,Cytoplasm,transporter,,,,,,,,,,,,,,
minichromosome maintenance 10 replication initiation factor,MCM10,2.005,1.85E-16,Nucleus,other,,,,,,,,,,,,,,
multiple EGF like domains 10,MEGF10,-2.355,4.63E-21,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
maternal embryonic leucine zipper kinase,MELK,2.28,3.68E-33,Cytoplasm,kinase,,,,,,,,,,,,,,
major facilitator superfamily domain containing 4A,MFSD4A,-2.545,1.30E-20,Other,other,,,,,,,,,,,,,,
marker of proliferation Ki-67,MKI67,2.774,6.57E-33,Nucleus,other,,,,,,,,,,,,,,
matrix metallopeptidase 1,MMP1,2.981,7.66E-13,Extracellular Space,peptidase,,,,,,,,,,,,,,
matrix metallopeptidase 7,MMP7,-2.362,4.07E-14,Extracellular Space,peptidase,,,,,,,,,,,,,,
matrix metallopeptidase 12,MMP12,4.715,1.57E-27,Extracellular Space,peptidase,,,,,,,,,,,,,,
monoacylglycerol O-acyltransferase 1,MOGAT1,-2.498,8.17E-18,Cytoplasm,enzyme,,,,,,,,,,,,,,
muscle RAS oncogene homolog,MRAS,-2.129,2.68E-15,Plasma Membrane,enzyme,,,,,,,,,,,,,,
melanoregulin,MREG,2.246,9.01E-31,Cytoplasm,other,,,,,,,,,,,,,,
microseminoprotein beta,MSMB,-2.316,6.19E-10,Extracellular Space,other,,,,,,,,,,,,,,
mitochondrial fission regulator 2,MTFR2,2.389,1.03E-38,Cytoplasm,other,,,,,,,,,,,,,,
"mucin 1, cell surface associated",MUC1,-2.215,6.17E-16,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
"mucin 7, secreted",MUC7,-4.423,1.15E-47,Cytoplasm,other,,,,,,,,,,,,,,
MX dynamin like GTPase 1,MX1,3.663,9.87E-40,Cytoplasm,enzyme,,,,,,,,,,,,,,
myosin binding protein C1,MYBPC1,-2.428,1.36E-16,Cytoplasm,other,,,,,,,,,,,,,,
NEDD4 binding protein 2 like 1,N4BP2L1,-2.085,4.13E-12,Other,other,,,,,,,,,,,,,,
nicotinamide phosphoribosyltransferase,NAMPT,-2.252,3.17E-13,Extracellular Space,cytokine,,,,,,,,,,,,,,
napsin B aspartic peptidase (pseudogene),NAPSB,2.255,6.45E-12,Other,other,,,,,,,,,,,,,,
neurocalcin delta,NCALD,-2.28,1.13E-15,Cytoplasm,other,,,,,,,,,,,,,,
NDC80 kinetochore complex component,NDC80,2.545,6.11E-44,Nucleus,other,,,,,,,,,,,,,,
"neural precursor cell expressed, developmentally down-regulated 9",NEDD9,-2.684,8.85E-20,Nucleus,other,,,,,,,,,,,,,,
nuclear factor of activated T cells 5,NFAT5,-2.194,5.99E-26,Nucleus,transcription regulator,,,,,,,,,,,,,,
"nuclear factor, interleukin 3 regulated",NFIL3,-2.339,5.27E-28,Nucleus,transcription regulator,,,,,,,,,,,,,,
NLR family member X1,NLRX1,2.537,2.33E-34,Cytoplasm,other,,,,,,,,,,,,,,
nuclear receptor subfamily 1 group D member 1,NR1D1,-3.56,3.97E-24,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
nuclear receptor subfamily 3 group C member 2,NR3C2,-2.275,4.93E-26,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
nuclear receptor subfamily 4 group A member 1,NR4A1,-3.048,1.42E-39,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
nuclear receptor subfamily 4 group A member 2,NR4A2,-2.014,1.78E-25,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
2'-5'-oligoadenylate synthetase 1,OAS1,3.7,3.09E-41,Cytoplasm,enzyme,,,,,,,,,,,,,,
2'-5'-oligoadenylate synthetase 2,OAS2,4.58,9.26E-43,Cytoplasm,enzyme,,,,,,,,,,,,,,
2'-5'-oligoadenylate synthetase 3,OAS3,2.841,6.54E-22,Cytoplasm,enzyme,,,,,,,,,,,,,,
2'-5'-oligoadenylate synthetase like,OASL,4.638,6.79E-42,Cytoplasm,enzyme,,,,,,,,,,,,,,
osteoglycin,OGN,-2.356,1.87E-12,Extracellular Space,growth factor,,,,,,,,,,,,,,
Opa interacting protein 5,OIP5,2.19,3.20E-29,Nucleus,other,,,,,,,,,,,,,,
oxysterol binding protein like 8,OSBPL8,-2.001,8.66E-24,Plasma Membrane,transporter,,,,,,,,,,,,,,
oncostatin M receptor,OSMR,-2.404,1.53E-15,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
"OTU deubiquitinase, ubiquitin aldehyde binding 2",OTUB2,2.823,1.28E-36,Nucleus,enzyme,,,,,,,,,,,,,,
prolyl 4-hydroxylase subunit alpha 1,P4HA1,-2.016,6.83E-21,Cytoplasm,enzyme,,,,,,,,,,,,,,
peptidyl arginine deiminase 2,PADI2,-2.322,5.10E-21,Cytoplasm,enzyme,,,,,,,,,,,,,,
PALM2 and AKAP2 fusion,PALM2AKAP2,-2.117,7.65E-20,Plasma Membrane,other,,,,,,,,,,,,,,
poly(ADP-ribose) polymerase family member 9,PARP9,2.662,3.29E-41,Nucleus,enzyme,,,,,,,,,,,,,,
PDZ binding kinase,PBK,2.533,1.13E-24,Cytoplasm,kinase,,,,,,,,,,,,,,
protocadherin 9,PCDH9,-2.072,6.48E-13,Plasma Membrane,other,,,,,,,,,,,,,,
polycomb group ring finger 5,PCGF5,2.078,8.11E-31,Cytoplasm,enzyme,,,,,,,,,,,,,,
phosphoenolpyruvate carboxykinase 1,PCK1,-2.388,8.69E-11,Cytoplasm,kinase,,,,,,,,,,,,,,
PCNA clamp associated factor,PCLAF,3.057,5.54E-30,Nucleus,other,,,,,,,,,,,,,,
phosphodiesterase 9A,PDE9A,-2.373,5.85E-21,Cytoplasm,enzyme,,,,,,,,,,,,,,
pyruvate dehydrogenase kinase 4,PDK4,-3.344,9.17E-21,Cytoplasm,kinase,,,,,,,,,,,,,,
PDZ and LIM domain 3,PDLIM3,-2.083,1.16E-19,Cytoplasm,other,,,,,,,,,,,,,,
PDZK1 interacting protein 1,PDZK1IP1,2.665,1.91E-39,Extracellular Space,other,,,,,,,,,,,,,,
PDZ domain containing ring finger 4,PDZRN4,-2.028,9.75E-12,Other,other,,,,,,,,,,,,,,
period circadian regulator 1,PER1,-2.691,8.08E-23,Nucleus,transcription regulator,,,,,,,,,,,,,,
peptidoglycan recognition protein 4,PGLYRP4,2.337,1.53E-28,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
pleckstrin homology like domain family A member 1,PHLDA1,-2.165,3.77E-13,Cytoplasm,other,,,,,,,,,,,,,,
phytanoyl-CoA 2-hydroxylase interacting protein,PHYHIP,-2.636,5.07E-28,Cytoplasm,other,,,,,,,,,,,,,,
peptidase inhibitor 3,PI3,4.93,8.78E-26,Extracellular Space,other,,,,,,,,,,,,,,
prolactin induced protein,PIP,-3.072,5.89E-08,Extracellular Space,peptidase,,,,,,,,,,,,,,
plakophilin 3,PKP3,2.11,4.82E-13,Plasma Membrane,other,,,,,,,,,,,,,,
phospholipase A2 group IIF,PLA2G2F,2.192,3.98E-19,Extracellular Space,enzyme,,,,,,,,,,,,,,
phospholipase A and acyltransferase 3,PLAAT3,-2.65,1.24E-11,Cytoplasm,enzyme,,,,,,,,,,,,,,
phospholipase B domain containing 1,PLBD1,2.891,1.45E-96,Cytoplasm,enzyme,,,,,,,,,,,,,,
phospholipase C beta 4,PLCB4,-2.374,1.00E-29,Cytoplasm,enzyme,,,,,,,,,,,,,,
perilipin 1,PLIN1,-3.307,2.49E-09,Cytoplasm,other,,,,,,,,,,,,,,
perilipin 2,PLIN2,-2.206,1.29E-16,Plasma Membrane,other,,,,,,,,,,,,,,
peptidase M20 domain containing 1,PM20D1,-3.361,2.70E-12,Cytoplasm,peptidase,,,,,,,,,,,,,,
phorbol-12-myristate-13-acetate-induced protein 1,PMAIP1,-2.046,1.96E-18,Cytoplasm,other,,,,,,,,,,,,,,
"DNA polymerase epsilon 2, accessory subunit",POLE2,2.094,1.00E-46,Nucleus,enzyme,,,,,,,,,,,,,,
RNA polymerase III subunit G,POLR3G,2.21,1.55E-31,Nucleus,enzyme,,,,,,,,,,,,,,
peroxisome proliferator activated receptor gamma,PPARG,-2.433,1.55E-14,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
PPARG coactivator 1 alpha,PPARGC1A,-3.321,3.96E-34,Nucleus,transcription regulator,,,,,,,,,,,,,,
PPFIA binding protein 1,PPFIBP1,-2.607,5.80E-40,Plasma Membrane,other,,,,,,,,,,,,,,
peptidylprolyl isomerase F,PPIF,2.239,3.39E-16,Cytoplasm,enzyme,,,,,,,,,,,,,,
protein phosphatase 1 regulatory subunit 15A,PPP1R15A,-2.051,1.42E-22,Cytoplasm,other,,,,,,,,,,,,,,
protein phosphatase 1 regulatory inhibitor subunit 1A,PPP1R1A,-3.77,7.57E-18,Cytoplasm,phosphatase,,,,,,,,,,,,,,
protein phosphatase 1 regulatory inhibitor subunit 1B,PPP1R1B,-3.278,6.65E-25,Cytoplasm,phosphatase,,,,,,,,,,,,,,
protein phosphatase 1 regulatory subunit 3B,PPP1R3B,-2.443,2.86E-22,Cytoplasm,phosphatase,,,,,,,,,,,,,,
protein phosphatase 1 regulatory subunit 3C,PPP1R3C,-2.091,4.90E-14,Cytoplasm,phosphatase,,,,,,,,,,,,,,
protein kinase cAMP-dependent type II regulatory subunit beta,PRKAR2B,-2.088,9.04E-12,Cytoplasm,kinase,,,,,,,,,,,,,,
protein kinase C theta,PRKCQ,2.864,2.07E-21,Cytoplasm,kinase,,,,,,,,,,,,,,
proline rich 11,PRR11,2.161,4.47E-27,Cytoplasm,other,,,,,,,,,,,,,,
proline rich 15 like,PRR15L,-2.342,1.56E-23,Other,other,,,,,,,,,,,,,,
serine protease 3,PRSS3,2.845,2.06E-45,Extracellular Space,peptidase,,,,,,,,,,,,,,
serine protease 27,PRSS27,4.617,1.30E-57,Cytoplasm,peptidase,,,,,,,,,,,,,,
serine protease 53,PRSS53,2.948,4.80E-22,Other,other,,,,,,,,,,,,,,
PRSS3 pseudogene 1,PRSS3P1,2.224,1.85E-40,Other,other,,,,,,,,,,,,,,
prostaglandin-endoperoxide synthase 2,PTGS2,-2.42,7.60E-11,Cytoplasm,enzyme,,,,,,,,,,,,,,
PYD and CARD domain containing,PYCARD,2.103,6.93E-37,Cytoplasm,other,,,,,,,,,,,,,,
"RAB27A, member RAS oncogene family",RAB27A,2.191,3.43E-29,Cytoplasm,enzyme,,,,,,,,,,,,,,
RAB GTPase activating protein 1 like,RABGAP1L,-2.05,3.35E-12,Cytoplasm,other,,,,,,,,,,,,,,
Rac family small GTPase 2,RAC2,2.067,1.41E-13,Cytoplasm,enzyme,,,,,,,,,,,,,,
RAD51 associated protein 1,RAD51AP1,2.074,1.38E-26,Nucleus,other,,,,,,,,,,,,,,
ras related dexamethasone induced 1,RASD1,-2.528,5.33E-32,Cytoplasm,enzyme,,,,,,,,,,,,,,
retinol binding protein 4,RBP4,-3.511,2.33E-10,Extracellular Space,other,,,,,,,,,,,,,,
repulsive guidance molecule BMP co-receptor a,RGMA,-2.011,1.68E-21,Plasma Membrane,other,,,,,,,,,,,,,,
RANBP2 like and GRIP domain containing 5,RGPD5,-2.627,1.87E-37,Nucleus,other,,,,,,,,,,,,,,
regulator of G protein signaling 1,RGS1,-2.03,2.09E-08,Plasma Membrane,enzyme,,,,,,,,,,,,,,
regulator of G protein signaling 20,RGS20,3.436,2.66E-68,Cytoplasm,enzyme,,,,,,,,,,,,,,
Rh family C glycoprotein,RHCG,3.841,5.65E-25,Plasma Membrane,transporter,,,,,,,,,,,,,,
ras homolog family member B,RHOB,-2.706,4.64E-40,Cytoplasm,enzyme,,,,,,,,,,,,,,
Rho related BTB domain containing 3,RHOBTB3,-2.42,2.25E-23,Cytoplasm,enzyme,,,,,,,,,,,,,,
rhophilin Rho GTPase binding protein 2,RHPN2,-2.887,9.62E-18,Cytoplasm,other,,,,,,,,,,,,,,
regulating synaptic membrane exocytosis 3,RIMS3,2.465,1.51E-28,Plasma Membrane,other,,,,,,,,,,,,,,
ribonuclease A family member 7,RNASE7,3.868,1.47E-22,Extracellular Space,enzyme,,,,,,,,,,,,,,
rhophilin associated tail protein 1,ROPN1,-2.17,8.01E-17,Cytoplasm,other,,,,,,,,,,,,,,
RAR related orphan receptor A,RORA,-2.531,4.37E-10,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
RAR related orphan receptor C,RORC,-2.165,4.38E-23,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
ribonucleotide reductase regulatory subunit M2,RRM2,3.12,7.10E-32,Cytoplasm,enzyme,,,,,,,,,,,,,,
radical S-adenosyl methionine domain containing 2,RSAD2,4.097,5.48E-31,Cytoplasm,enzyme,,,,,,,,,,,,,,
R-spondin 3,RSPO3,-2.177,4.67E-13,Extracellular Space,kinase,,,,,,,,,,,,,,
receptor transporter protein 4,RTP4,3.407,1.61E-32,Plasma Membrane,other,,,,,,,,,,,,,,
S100 calcium binding protein A7,S100A7,3.705,2.78E-21,Cytoplasm,other,,,,,,,,,,,,,,
S100 calcium binding protein A8,S100A8,3.312,1.54E-16,Cytoplasm,other,,,,,,,,,,,,,,
S100 calcium binding protein A9,S100A9,4.62,4.21E-21,Cytoplasm,other,,,,,,,,,,,,,,
S100 calcium binding protein A12,S100A12,7.079,2.43E-107,Cytoplasm,other,,,,,,,,,,,,,,
S100 calcium binding protein A7A,S100A7A,5.223,2.14E-19,Cytoplasm,other,,,,,,,,,,,,,,
sterile alpha motif domain containing 9,SAMD9,2.946,4.30E-33,Cytoplasm,other,,,,,,,,,,,,,,
suppressor APC domain containing 1,SAPCD1,-2.198,1.42E-16,Other,other,,,,,,,,,,,,,,
secretoglobin family 1D member 2,SCGB1D2,-3.613,7.08E-12,Extracellular Space,other,,,,,,,,,,,,,,
secretoglobin family 2A member 1,SCGB2A1,-2.647,1.64E-11,Extracellular Space,other,,,,,,,,,,,,,,
secretoglobin family 2A member 2,SCGB2A2,-2.543,5.74E-06,Extracellular Space,other,,,,,,,,,,,,,,
sodium voltage-gated channel alpha subunit 7,SCN7A,-2.519,4.92E-25,Plasma Membrane,ion channel,,,,,,,,,,,,,,
short chain dehydrogenase/reductase family 9C member 7,SDR9C7,2.175,9.73E-13,Other,enzyme,,,,,,,,,,,,,,
SEC14 like lipid binding 4,SEC14L4,-2.484,1.77E-14,Other,other,,,,,,,,,,,,,,
selectin L,SELL,2.437,1.01E-08,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
semaphorin 3G,SEMA3G,-2.258,1.55E-23,Cytoplasm,other,,,,,,,,,,,,,,
septin 11,SEPTIN11,-2.348,7.58E-21,Nucleus,other,,,,,,,,,,,,,,
--,SERHL,-3.047,3.79E-14,Cytoplasm,other,,,,,,,,,,,,,,
serine hydrolase like 2,SERHL2,-3.312,1.46E-16,Cytoplasm,enzyme,,,,,,,,,,,,,,
serpin family B member 3,SERPINB3,4.741,2.02E-26,Cytoplasm,other,,,,,,,,,,,,,,
serpin family B member 4,SERPINB4,5.086,6.73E-16,Cytoplasm,other,,,,,,,,,,,,,,
serpin family B member 13,SERPINB13,3.492,5.39E-24,Cytoplasm,other,,,,,,,,,,,,,,
serpin family E member 1,SERPINE1,-2.045,4.67E-11,Extracellular Space,other,,,,,,,,,,,,,,
splicing factor 1,SF1,-2.144,7.27E-13,Nucleus,transcription regulator,,,,,,,,,,,,,,
secreted frizzled related protein 1,SFRP1,-2.234,3.16E-16,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
SH3PXD2A antisense RNA 1,SH3PXD2A-AS1,2.313,1.01E-15,Other,other,,,,,,,,,,,,,,
SH3 domain containing ring finger 1,SH3RF1,-2.601,2.89E-27,Cytoplasm,enzyme,,,,,,,,,,,,,,
salt inducible kinase 1,SIK1,-3.214,5.60E-37,Cytoplasm,kinase,,,,,,,,,,,,,,
SLAM family member 7,SLAMF7,2.684,3.34E-36,Plasma Membrane,other,,,,,,,,,,,,,,
solute carrier family 23 member 2,SLC23A2,2.483,1.12E-14,Plasma Membrane,transporter,,,,,,,,,,,,,,
solute carrier family 26 member 2,SLC26A2,-2.114,2.28E-19,Plasma Membrane,transporter,,,,,,,,,,,,,,
solute carrier family 26 member 9,SLC26A9,3.21,1.01E-29,Plasma Membrane,transporter,,,,,,,,,,,,,,
solute carrier family 2 member 3,SLC2A3,-2.879,1.38E-28,Plasma Membrane,transporter,,,,,,,,,,,,,,
solute carrier family 5 member 1,SLC5A1,3.142,1.94E-34,Plasma Membrane,transporter,,,,,,,,,,,,,,
solute carrier family 6 member 14,SLC6A14,3.197,2.14E-32,Plasma Membrane,transporter,,,,,,,,,,,,,,
solute carrier family 7 member 11,SLC7A11,3.037,2.26E-42,Plasma Membrane,transporter,,,,,,,,,,,,,,
secreted LY6/PLAUR domain containing 2,SLURP2,2.475,1.09E-22,Cytoplasm,other,,,,,,,,,,,,,,
spermine oxidase,SMOX,2.096,1.56E-32,Cytoplasm,enzyme,,,,,,,,,,,,,,
sphingomyelin phosphodiesterase 3,SMPD3,2.184,2.65E-33,Cytoplasm,enzyme,,,,,,,,,,,,,,
"small nucleolar RNA, C/D box 3B-2",SNORD3B-2,-2.771,2.31E-14,Other,other,,,,,,,,,,,,,,
suppressor of cytokine signaling 2,SOCS2,-2.121,3.82E-13,Cytoplasm,other,,,,,,,,,,,,,,
suppressor of cytokine signaling 3,SOCS3,-2.167,6.70E-12,Cytoplasm,phosphatase,,,,,,,,,,,,,,
superoxide dismutase 2,SOD2,-2.29,2.23E-11,Cytoplasm,enzyme,,,,,,,,,,,,,,
sorbin and SH3 domain containing 1,SORBS1,-2.103,3.85E-10,Plasma Membrane,other,,,,,,,,,,,,,,
sorbin and SH3 domain containing 2,SORBS2,-2.595,2.99E-17,Plasma Membrane,other,,,,,,,,,,,,,,
SRY-box transcription factor 5,SOX5,-2.224,2.46E-30,Nucleus,transcription regulator,,,,,,,,,,,,,,
SRY-box transcription factor 8,SOX8,-2.548,9.81E-28,Nucleus,transcription regulator,,,,,,,,,,,,,,
SRY-box transcription factor 9,SOX9,-2.299,2.01E-20,Nucleus,transcription regulator,,,,,,,,,,,,,,
SRY-box transcription factor 17,SOX17,-2.239,1.10E-19,Nucleus,transcription regulator,,,,,,,,,,,,,,
spermatogenesis associated 20,SPATA20,2.066,4.13E-30,Cytoplasm,other,,,,,,,,,,,,,,
SPC25 component of NDC80 kinetochore complex,SPC25,2.408,4.56E-29,Cytoplasm,other,,,,,,,,,,,,,,
small proline rich protein 3,SPRR3,2.61,1.36E-11,Cytoplasm,other,,,,,,,,,,,,,,
small proline rich protein 1A,SPRR1A,3.568,5.14E-44,Cytoplasm,other,,,,,,,,,,,,,,
small proline rich protein 1B,SPRR1B,2.921,1.64E-35,Cytoplasm,other,,,,,,,,,,,,,,
