Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Expr Log Ratio,Expr p-value,Location,Type(s),,,,,,,,,,,,,,
CD47 molecule,CD47,2.228,2.86E-56,Plasma Membrane,other,,,,,,,,,,,,,,
CD48 molecule,CD48,2.008,5.49E-12,Plasma Membrane,other,,,,,,,,,,,,,,
CD52 molecule,CD52,2.007,6.21E-13,Plasma Membrane,other,,,,,,,,,,,,,,
CD274 molecule,CD274,2.85,2.50E-13,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
CD24 molecule pseudogene 4,CD24P4,3.335,4.56E-33,Plasma Membrane,other,,,,,,,,,,,,,,
CD300 molecule like family member g,CD300LG,-2.788,2.28E-16,Plasma Membrane,other,,,,,,,,,,,,,,
CD3 delta subunit of T-cell receptor complex,CD3D,2.721,1.16E-19,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
cell division cycle 20,CDC20,2.412,6.21E-22,Nucleus,other,,,,,,,,,,,,,,
CDC42 binding protein kinase alpha,CDC42BPA,-2.227,1.14E-14,Cytoplasm,kinase,,,,,,,,,,,,,,
cyclin dependent kinase 5 regulatory subunit 1,CDK5R1,2.713,1.61E-58,Nucleus,kinase,,,,,,,,,,,,,,
cyclin dependent kinase inhibitor 3,CDKN3,2.815,2.00E-29,Cytoplasm,phosphatase,,,,,,,,,,,,,,
cysteine dioxygenase type 1,CDO1,-3.13,2.12E-15,Cytoplasm,enzyme,,,,,,,,,,,,,,
CEA cell adhesion molecule 7,CEACAM7,-2.387,1.14E-20,Plasma Membrane,other,,,,,,,,,,,,,,
centromere protein E,CENPE,2.168,5.06E-20,Nucleus,other,,,,,,,,,,,,,,
centromere protein K,CENPK,2.012,8.77E-21,Nucleus,other,,,,,,,,,,,,,,
centromere protein N,CENPN,2.455,6.75E-38,Nucleus,other,,,,,,,,,,,,,,
carboxylesterase 1,CES1,-2.272,7.68E-14,Cytoplasm,enzyme,,,,,,,,,,,,,,
cilia and flagella associated protein 251,CFAP251,2.268,4.35E-08,Cytoplasm,other,,,,,,,,,,,,,,
ChaC glutathione specific gamma-glutamylcyclotransferase 1,CHAC1,3.092,1.33E-21,Cytoplasm,enzyme,,,,,,,,,,,,,,
ChaC glutathione specific gamma-glutamylcyclotransferase 2,CHAC2,2.534,1.31E-42,Cytoplasm,enzyme,,,,,,,,,,,,,,
CHD2 adjacent suppressive regulatory RNA,CHASERR,-2.038,7.42E-24,Other,other,,,,,,,,,,,,,,
checkpoint kinase 1,CHEK1,2.16,8.95E-27,Nucleus,kinase,,,,,,,,,,,,,,
chitinase 3 like 2,CHI3L2,3.821,6.18E-28,Extracellular Space,enzyme,,,,,,,,,,,,,,
cholinergic receptor muscarinic 3,CHRM3,-2.09,4.33E-20,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
cholinergic receptor nicotinic alpha 9 subunit,CHRNA9,3.544,4.22E-46,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
cell death inducing DFFA like effector c,CIDEC,-2.415,8.89E-08,Cytoplasm,other,,,,,,,,,,,,,,
claudin 8,CLDN8,-3.679,2.40E-50,Plasma Membrane,other,,,,,,,,,,,,,,
C-type lectin domain containing 7A,CLEC7A,3.766,5.89E-44,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
chloride intracellular channel 5,CLIC5,-2.089,1.60E-18,Cytoplasm,ion channel,,,,,,,,,,,,,,
calsyntenin 2,CLSTN2,-2.251,1.42E-16,Plasma Membrane,transporter,,,,,,,,,,,,,,
cytidine/uridine monophosphate kinase 2,CMPK2,3.601,5.35E-38,Cytoplasm,kinase,,,,,,,,,,,,,,
cornifelin,CNFN,2.992,3.37E-48,Cytoplasm,other,,,,,,,,,,,,,,
cellular retinoic acid binding protein 2,CRABP2,2.29,2.19E-24,Cytoplasm,transporter,,,,,,,,,,,,,,
C-X-C motif chemokine ligand 1,CXCL1,3.403,3.81E-21,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-X-C motif chemokine ligand 8,CXCL8,4.474,9.58E-18,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-X-C motif chemokine ligand 9,CXCL9,5.643,2.13E-34,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-X-C motif chemokine ligand 10,CXCL10,5.102,2.65E-35,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-X-C motif chemokine ligand 11,CXCL11,3.064,8.93E-11,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-X-C motif chemokine ligand 13,CXCL13,4.029,1.85E-21,Extracellular Space,cytokine,,,,,,,,,,,,,,
cytochrome P450 family 2 subfamily C member 18,CYP2C18,2.038,4.51E-18,Cytoplasm,enzyme,,,,,,,,,,,,,,
cytochrome P450 family 4 subfamily B member 1,CYP4B1,-2.012,6.31E-11,Cytoplasm,enzyme,,,,,,,,,,,,,,
cytochrome P450 family 4 subfamily F member 8,CYP4F8,-3.154,8.67E-23,Cytoplasm,enzyme,,,,,,,,,,,,,,
cytochrome P450 family 4 subfamily F member 22,CYP4F22,2.478,1.19E-38,Extracellular Space,enzyme,,,,,,,,,,,,,,
cysteine rich tail 1,CYSRT1,2.519,7.56E-50,Cytoplasm,other,,,,,,,,,,,,,,
dishevelled binding antagonist of beta catenin 1,DACT1,-2.258,2.28E-14,Cytoplasm,other,,,,,,,,,,,,,,
"DXZ4 associated non-coding transcript 2, distal",DANT2,-2.562,3.02E-23,Other,other,,,,,,,,,,,,,,
deleted in azoospermia 3,DAZ3,-2.188,4.95E-09,Other,other,,,,,,,,,,,,,,
DNA damage inducible transcript 3,DDIT3,-2.215,4.84E-30,Nucleus,transcription regulator,,,,,,,,,,,,,,
DNA damage inducible transcript 4,DDIT4,-2.444,1.56E-18,Cytoplasm,other,,,,,,,,,,,,,,
DEAD-box helicase 17,DDX17,-2.219,1.83E-08,Nucleus,enzyme,,,,,,,,,,,,,,
DExD/H-box 60 like,DDX60L,2.148,5.13E-28,Other,other,,,,,,,,,,,,,,
defensin beta 4A,DEFB4A,5.163,8.16E-17,Extracellular Space,other,,,,,,,,,,,,,,
DEPP autophagy regulator 1,DEPP1,-3.463,6.58E-19,Cytoplasm,other,,,,,,,,,,,,,,
dehydrogenase/reductase 9,DHRS9,2.9,3.87E-18,Cytoplasm,enzyme,,,,,,,,,,,,,,
DLG associated protein 5,DLGAP5,2.945,1.06E-34,Nucleus,other,,,,,,,,,,,,,,
deoxyribonuclease 1L3,DNASE1L3,2.259,6.45E-31,Nucleus,enzyme,,,,,,,,,,,,,,
delta/notch like EGF repeat containing,DNER,-2.458,1.50E-13,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
desmocollin 2,DSC2,3.515,8.77E-20,Plasma Membrane,other,,,,,,,,,,,,,,
desmoglein 2,DSG2,-2.03,2.83E-25,Plasma Membrane,other,,,,,,,,,,,,,,
dual specificity phosphatase 1,DUSP1,-3.064,4.39E-55,Nucleus,phosphatase,,,,,,,,,,,,,,
early growth response 1,EGR1,-3.233,6.29E-26,Nucleus,transcription regulator,,,,,,,,,,,,,,
endosome-lysosome associated apoptosis and autophagy regulator 1,ELAPOR1,-2.275,3.43E-21,Plasma Membrane,other,,,,,,,,,,,,,,
ELOVL fatty acid elongase 3,ELOVL3,-2.554,2.84E-08,Cytoplasm,enzyme,,,,,,,,,,,,,,
ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5,-2.129,6.76E-26,Extracellular Space,enzyme,,,,,,,,,,,,,,
epithelial cell adhesion molecule,EPCAM,-2.152,8.76E-19,Plasma Membrane,other,,,,,,,,,,,,,,
epithelial stromal interaction 1,EPSTI1,4.117,1.91E-42,Other,other,,,,,,,,,,,,,,
endoplasmic reticulum aminopeptidase 2,ERAP2,2.125,1.01E-12,Cytoplasm,peptidase,,,,,,,,,,,,,,
estrogen related receptor gamma,ESRRG,-2.586,8.26E-25,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
extended synaptotagmin 3,ESYT3,2.305,3.79E-31,Plasma Membrane,other,,,,,,,,,,,,,,
fatty acid binding protein 4,FABP4,-2.951,4.10E-09,Cytoplasm,transporter,,,,,,,,,,,,,,
fatty acid binding protein 5,FABP5,2.132,2.38E-30,Cytoplasm,transporter,,,,,,,,,,,,,,
fatty acid desaturase 1,FADS1,-2.874,7.00E-13,Plasma Membrane,enzyme,,,,,,,,,,,,,,
