Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,abs_logFC,significance_p,neg_log10_p,abs_logFC_scaled,neg_log10_p_scaled,literature_mentions_scaled,document_occurrences_scaled,cooccurrence_score_scaled,gene_evidence_score,rank
SPRY1,-2.318,2.8999999999999997e-35,0,0,0,sprouty RTK signaling antagonist 1,Cytoplasm,other,,,,,,,,,,,,,,,2.318,2.8999999999999997e-35,34.537602002101046,0.05713770728190343,0.19902736633116544,0.0,0.0,0.0,0.06118438303917205,201
PHYHIP,-2.636,5.07e-28,0,0,0,phytanoyl-CoA 2-hydroxylase interacting protein,Cytoplasm,other,,,,,,,,,,,,,,,2.636,5.07e-28,27.294992040666664,0.11445565969718818,0.15083138862554246,0.0,0.0,0.0,0.06059897909582325,202
PM20D1,-3.361,2.7e-12,0,0,0,peptidase M20 domain containing 1,Cytoplasm,peptidase,,,,,,,,,,,,,,,3.361,2.7e-12,11.568636235841012,0.24513338139870228,0.04618028939529174,0.0,0.0,0.0,0.06057174862856339,203
FEN1,2.422,3.13e-32,0,0,0,flap structure-specific endonuclease 1,Nucleus,enzyme,,,,,,,,,,,,,,,2.422,3.13e-32,31.50445566245355,0.07588320115356889,0.1788432815686345,0.0,0.0,0.0,0.0598874606228724,204
SRD5A3,2.026,1.31e-40,0,0,0,steroid 5 alpha-reductase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.026,1.31e-40,39.88272870434424,0.004506128334534953,0.23459653390290958,0.0,0.0,0.0,0.05955035914263439,205
IFI44,2.9,3.65e-21,0,0,0,interferon induced protein 44,Other,other,,,,,,,,,,,,,,,2.9,3.65e-21,20.437707135543526,0.16204037490987738,0.10519955808817547,0.0,0.0,0.0,0.05870796450401934,206
SH3RF1,-2.601,2.89e-27,0,0,0,SH3 domain containing ring finger 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.601,2.89e-27,26.539102157243452,0.10814708002883922,0.14580131629479995,0.0,0.0,0.0,0.05807974507946783,207
GABBR1,3.034,7.32e-18,0,0,0,gamma-aminobutyric acid type B receptor subunit 1,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,,3.034,7.32e-18,17.135488918941608,0.18619322278298484,0.08322493341641857,0.0,0.0,0.0,0.05804487791070161,208
KIF27,-2.467,4.17e-30,0,0,0,kinesin family member 27,Cytoplasm,other,,,,,,,,,,,,,,,2.467,4.17e-30,29.379863945026244,0.08399423215573182,0.1647051772675714,0.0,0.0,0.0,0.05797514074803921,209
ARG1,2.757,9.25e-24,0,0,0,arginase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.757,9.25e-24,23.033858267260968,0.13626532083633747,0.1224756564464945,0.0,0.0,0.0,0.05787197827889112,210
OAS3,2.841,6.54e-22,0,0,0,2'-5'-oligoadenylate synthetase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.841,6.54e-22,21.184422251675734,0.15140591204037496,0.11016857689233486,0.0,0.0,0.0,0.05782332663115871,211
PRKCQ,2.864,2.07e-21,0,0,0,protein kinase C theta,Cytoplasm,kinase,,,,,,,,,,,,,,,2.864,2.07e-21,20.68402965454308,0.15555155010814709,0.10683871230154751,0.0,0.0,0.0,0.0578199880970163,212
LAMP3,2.716,1.41e-24,0,0,0,lysosomal associated membrane protein 3,Plasma Membrane,other,,,,,,,,,,,,,,,2.716,1.41e-24,23.85078088734462,0.12887527036770013,0.12791187137376822,0.0,0.0,0.0,0.05775302191698208,213
CDO1,-3.13,2.12e-15,0,0,0,cysteine dioxygenase type 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.13,2.12e-15,14.67366413907125,0.2034967555875991,0.06684271031762234,0.0,0.0,0.0,0.05741002869692541,214
